lat,long,dop,DOY,CWAD20,CWAD50,CWAD80,state
43.4375,-92.8125,260,92,224.4491594,781.5949835,1762.2119110000026,MN
43.4375,-92.8125,260,106,711.3385966000001,1744.7020975,2829.4200106000035,MN
43.4375,-92.8125,260,122,1934.5683208000003,3232.643833,4413.530852400003,MN
43.4375,-92.8125,260,136,3331.468148,4566.8413665,5438.420013400002,MN
43.4375,-92.8125,260,153,4838.640535199999,5587.5316635,6215.675678400001,MN
43.4375,-92.8125,260,167,5536.3876514,5963.970202500001,6525.2569126,MN
43.4375,-92.8125,260,183,5674.034905,6072.146124000001,6687.513392600001,MN
43.4375,-92.8125,260,197,5674.034905,6081.2271545,6688.566035600001,MN
43.4375,-92.9375,260,92,245.6837138,820.2242925,1834.9582722000027,MN
43.4375,-92.9375,260,106,775.8336822000001,1803.6429455,2998.8852318000036,MN
43.4375,-92.9375,260,122,2051.537252,3371.7411405000003,4566.810484000003,MN
43.4375,-92.9375,260,136,3438.3808584000003,4693.4647035,5552.158952800001,MN
43.4375,-92.9375,260,153,4916.0289892,5612.0134204999995,6285.1934722000005,MN
43.4375,-92.9375,260,167,5579.0873694,6006.692674,6515.7810825999995,MN
43.4375,-92.9375,260,183,5718.424565,6079.5763285,6609.268745,MN
43.4375,-92.9375,260,197,5718.424565,6083.3720825,6609.8961856000005,MN
43.4375,-93.0625,260,92,227.7865976,795.3582845000001,1705.975453200003,MN
43.4375,-93.0625,260,106,739.8065964,1732.551757,2851.704606000002,MN
43.4375,-93.0625,260,122,2002.8862656000003,3310.6308165,4219.0169662,MN
43.4375,-93.0625,260,136,3379.3981368,4570.4335255000005,5191.2372038,MN
43.4375,-93.0625,260,153,4838.0153648,5507.1375995,6126.9993012,MN
43.4375,-93.0625,260,167,5270.4890966,5897.344117,6440.301150400001,MN
43.4375,-93.0625,260,183,5452.3073128,5936.702208,6501.847597,MN
43.4375,-93.0625,260,197,5456.8323004,5960.6954635,6505.7414402,MN
43.4375,-93.1875,260,92,231.9888368,816.8352864999999,1730.2584926000034,MN
43.4375,-93.1875,260,106,730.0845151999999,1713.1237285,2957.996205000003,MN
43.4375,-93.1875,260,122,1989.490356,3302.09063,4464.728535200002,MN
43.4375,-93.1875,260,136,3381.6282102,4618.874137000001,5427.8907304,MN
43.4375,-93.1875,260,153,4874.2180238,5535.275316,6183.661911,MN
43.4375,-93.1875,260,167,5498.4273676,5908.9236775,6415.636110400001,MN
43.4375,-93.1875,260,183,5659.5527311999995,6011.859104,6522.2351728,MN
43.4375,-93.1875,260,197,5659.5527311999995,6018.9330405,6536.2375224,MN
43.4375,-93.3125,260,92,224.56742959999997,796.20006,1678.392683400003,MN
43.4375,-93.3125,260,106,716.9856548,1683.4367165,2942.5042514000024,MN
43.4375,-93.3125,260,122,1968.4106006000002,3224.1291739999997,4445.786493000001,MN
43.4375,-93.3125,260,136,3365.7693558,4478.8952955,5355.093792400001,MN
43.4375,-93.3125,260,153,4802.0969542,5441.7061525,6026.4312546,MN
43.4375,-93.3125,260,167,5447.6149116,5768.3647775,6178.776456,MN
43.4375,-93.3125,260,183,5664.1152792,5927.799592,6190.8767666,MN
43.4375,-93.3125,260,197,5673.2493368000005,5936.352712,6190.8767666,MN
43.4375,-93.4375,260,92,215.3022234,780.2372645,1613.970355400003,MN
43.4375,-93.4375,260,106,694.189205,1632.2239774999998,2910.9072148000023,MN
43.4375,-93.4375,260,122,1929.3808359999998,3111.07596,4404.5061712000015,MN
43.4375,-93.4375,260,136,3335.991596,4558.684997,5337.718723399999,MN
43.4375,-93.4375,260,153,4834.845824800001,5519.75415,6077.1002306,MN
43.4375,-93.4375,260,167,5459.2367890000005,5890.4873455,6440.753736600001,MN
43.4375,-93.4375,260,183,5605.120009800001,5982.3146785,6535.9636872,MN
43.4375,-93.4375,260,197,5605.120009800001,5990.403322,6550.6107415999995,MN
43.4375,-93.5625,260,92,222.86582140000002,800.2912699999999,1679.5423902000032,MN
43.4375,-93.5625,260,106,714.3169348,1657.4802415,2998.7469064000024,MN
43.4375,-93.5625,260,122,1973.3539702,3176.6125505,4545.908732400003,MN
43.4375,-93.5625,260,136,3372.5340996000004,4592.094393,5526.774269200001,MN
43.4375,-93.5625,260,153,4840.6367202,5583.56117,6108.1391982000005,MN
43.4375,-93.5625,260,167,5474.325604799999,6006.275094500001,6483.8399226,MN
43.4375,-93.5625,260,183,5700.4673308,6086.7370915,6643.0029404,MN
43.4375,-93.5625,260,197,5700.4673308,6086.781176,6643.8853552,MN
43.4375,-93.6875,260,92,250.6752664,834.6115785,1820.4397284000033,MN
